ホテル名,ホテルID,ユーザ名,性別,年代,URL,クチコミID,投稿日,宿泊年月,評価(総合),評価(サービス),評価(立地),評価(部屋),評価(設備・アメニティ),評価(風呂),評価(食事),口コミ種別,口コミ,ホテル側の返答,ご利用の宿泊プラン,ご利用のお部屋
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/14679081?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=20&f_offset=8,,2017-09-24 23:57:29,2017月09月,4,4,4,4,4,4,3,,価格からすれば、十分に満足出来るホテルだと思います。,いつも当店をご利用頂き有難うございます。御満足いただけているとのこと大変嬉しく思います。今後も一層ご満足いただける様スタッフ一同精進して参ります。またのご利用心よりお待ちいたしております。フロント　関,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/14576669?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=20&f_offset=9,,2017-08-23 17:18:43,2017月08月,4,4,4,4,4,4,4,,いつもながら快適に過ごせました。,いつも当店をご利用頂き有難う御座います。快適にお過ごしになられ何よりでございます。今後、より一層お客様にご満足頂けるよう頑張りますので宜しくお願い致します。　　　　　　　　　　　フロント　山﨑,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/14515681?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=20&f_offset=10,,2017-08-06 14:27:40,2017月08月,4,3,2,4,-,3,-,,Wi-Fiが欲しい,この度は、ＡＺ上天草店をご利用頂きまして誠に有難うございました。貴重なご意見をありがとうございます。Ｗｉｆｉ環境について、現在はＷｉｆｉルーターの無料貸し出しをフロントにて行っております。フロントまでお気軽にお申し付け下さいませ。お客様のご意見を参考に、これから検討させて頂きたいと思います。またのご利用、心よりお待ち申し上げております。ＡＺ上天草店　松下,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/14515622?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=20&f_offset=11,,2017-08-06 14:11:51,2017月08月,3,3,3,4,-,3,-,,Wi-Fiがほしい,この度は、ＡＺ上天草店をご利用頂きまして誠に有難うございました。貴重なご意見をありがとうございます。Ｗｉｆｉ環境について、現在はＷｉｆｉルーターの無料貸し出しをフロントにて行っております。フロントまでお気軽にお申し付け下さいませ。お客様のご意見を参考に、これから検討させて頂きたいと思います。またのご利用、心よりお待ち申し上げております。ＡＺ上天草店　松下 ,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/14453361?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=20&f_offset=12,,2017-07-16 23:22:44,2017月07月,4,4,4,5,4,4,5,,満室のようでしたが静かでゆっくり過ごす事ができました。食事するスペースも広く混み合う事無く良かったです。夜メニューの鍋バイキングも美味しくいただき大満足しました。機会があったらまた利用します。,ご利用ありがとうございます。満足していただいたようでスタッフ一同大変嬉しく思います。又のご来館お待ちいたしております。暑くなりましたお身体ご自愛ください。　　　　　　　フロント　　山川,【朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,シュナパパ0630,50代,男性,https://review.travel.rakuten.co.jp/hotel/voice/151110/14422411?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=20&f_offset=13,,2017-07-04 19:07:21,2017月05月,4,4,4,2,4,3,3,,二段ベッドでない禁煙の部屋も用意して欲しい。,この度は当ホテルのご利用有難うございます。当ホテルはシングル（喫煙・禁煙）と二段ベッド（禁煙）のお部屋がございます。ネットでご希望のお部屋がない場合、お手数ですがお電話にてお問合せいただけますと幸いです。シングル（禁煙）の部屋数が少なくご迷惑おかけしてしまい申し訳ございません。またのご利用心よりお待ちいたしております。　フロント　関,【朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/14043379?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=1,,2017-02-06 21:56:07,2016月12月,4,3,4,3,3,3,4,,お部屋、施設も新しくて清潔でした、食事もバイキング形式でお値打ちです。ひとつだけ気になった事は、２段ベットタイプの部屋だったのですが、上のベットへの登り梯子が壁窓との間隔が狭く上がりは良いのですが、降りる時には子供や高齢者ならば少し不安を感じるのではと思いました。,この度は当ホテルのご利用有難うございます。お部屋、お食事共にご満足いただけて大変嬉しく思います。また、２段ベッドへの貴重なご意見有難うございます。ひとつの課題として取り上げさせていただきます。またのご利用、スタッフ一同心よりお待ちいたしております。ＨＯＴＥＬ　ＡＺ上天草店　関,【夕食付・朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/14034297?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=2,,2017-02-02 16:18:29,2017月01月,4,4,4,4,4,4,4,,ビジネスホテルがあまりない地域ですので、助かっています。これからも利用したいと思います。,この度は、お褒めの言葉を頂き誠にありがとうございます。スタッフ一同大変嬉しく拝読させて頂きました。今後もご宿泊されるお客様にご満足いただけるよう、より一層サービスの充実に努めて参ります。次回のご宿泊、心より楽しみにお待ちしております。AZ上天草店　松下,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/13973569?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=3,,2017-01-09 01:38:00,2016月12月,4,4,4,4,4,4,4,,コンビニが近く便利でした。スタッフの方々の接客が良かったです。,この度は、ＨＯＴＥＬ　ＡＺ上天草店をご利用頂き誠に有難う御座いました。お褒めの言葉を頂きスタッフ一同大変嬉しく思います。今後もお客様に満足して頂けるよう継続して努めて参ります。またのお越しを心よりお待ち申し上げております。ＨＯＴＥＬ　ＡＺ上天草店　関,【夕食付・朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/13954995?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=4,,2017-01-03 19:30:30,2017月01月,5,5,5,4,5,5,4,,フロントによる迅速で丁寧な対応。とても親切だった。,中山 祐紀子様この度は、当館へご宿泊頂きまして誠にありがとうございました。お褒めの言葉を頂き、スタッフ一同大変嬉しく思います。今後も、快適で安全なホテル空間をご提供出来るよう継続して努めて参ります。次回のご来館、心よりお待ち申し上げております。HOTEL　AZ上天草店　松下,【夕食付・朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/13857387?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=5,,2016-11-24 07:35:08,2016月11月,3,2,4,4,3,3,2,,夜中に、飲んで帰った客が廊下で数人で話していて、声が部屋まで聞こえてきてうるさくて眠れなかった。,この度は、上天草店をご利用いただきまして有難うございました。廊下の話し声が騒しかったことについてお客様にご満足いただけなかった事、大変申し訳ございませんでした。今後の課題として出来る限りの努力をしてまいります。大変申し訳ございませんでした。私どもスタッフの配慮不足でございました。今後、このようなご指摘がございませんよう真摯に受け止めて改善いたします。貴重なご意見、誠にありがとうございました。またのお越しをお待ちしております。　　　　　　　　　　　　　　　　　　　フロント　岩崎,【夕食付・朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/13628860?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=6,,2016-08-28 23:55:59,2016月08月,4,4,4,4,4,4,4,,初めて宿泊しました。こじんまりとしたホテルですが、コンビニも近く、快適に過ごせました。,この度は、ＨＯＴＥＬ ＡＺ上天草店をご利用いただき誠に有難う御座います。 お客様には、心地よくお過ごしいただいたとのお言葉を賜り　私達も　大変嬉しく思います。　お言葉を胸に スタッフ一同、決意も新たに より一層のサ-ビス向上にむけて精進してまいります。　お客様のまたのご来店を心よりお待ち申し上げております。　　　　　　　　　　　熊本　上天草店　村上,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,マルボウロ,60代,男性,https://review.travel.rakuten.co.jp/hotel/voice/151110/13585682?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=7,,2016-08-16 18:19:13,2016月08月,5,3,5,5,3,2,4,,今回は寝るだけの宿泊でしたので立地と価格を重視いたしました。建物は出来て間もないので満足致しました。,　この度は、ＨＯＴＥＬ ＡＺ上天草店のご利用誠に有難う御座います。今後も満足出来る様スタッフ一同努力してまいります。　お客様のまたのご来店を心よりお待ち申し上げております。熊本　上天草店　山﨑,【朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/13519905?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=8,,2016-07-23 00:51:17,2016月07月,3,3,3,3,3,3,3,,禁煙室に宿泊出来ず残念だった。,この度は、AZ上天草店をご利用いただき　誠にありがとうございます。　せっかくのご来館でしたが、ご希望に沿ったお部屋をご用意できず　大変申し訳ございませんでした。　　今後、お客様が、不自由な思いをなさらないよう　改めてサービスの向上に努めて参ります。　またのお越しを心よりお待ち申し上げております。　　　　　　フロント　村上,【夕食付・朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/13493746?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=9,,2016-07-12 08:47:21,2016月07月,3,3,5,2,3,-,3,,月に二三回、仕事に関係ない火・水曜に一泊二日のゴルフ（２プレイ）に家内と出かけます。ゴルフ場からの立地がが良くて、料金が安ければ尚良い。今回のAZ上天草さんはクーポンも使えて一番に条件が合って良かったです。それに夕食バイキング時の男性スタッフの笑顔が良くて、また来ようと言う気にもなりました。,いつもＡＺ上天草店をお引き立て頂き、誠にありがとうございます。これから暑い日が続きますが、スタッフ一同笑顔を忘れず、サービスの向上に努めて参ります。またのご利用を心よりお待ち申し上げております。フロント　岩﨑,【夕食付・朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,きゅうだい,50代,男性,https://review.travel.rakuten.co.jp/hotel/voice/151110/13475596?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=10,,2016-07-03 21:19:18,2016月06月,3,3,3,3,3,3,3,,すべてにおいて標準レベル,今回は、当ホテルのご利用、誠にありがとうございました。皆様のご要望にひとつでも多くお答えし、標準からもう一つ上のレベルに行けるよう、私たちスタッフも更に尽力したく思っております。今回は貴重なお時間を割いての投稿、誠にありがとうございます。　　　フロント　岩﨑,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/13342191?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=11,,2016-04-05 21:12:38,2016月03月,4,3,4,5,3,3,4,,部屋も綺麗でオススメのホテルです。仕事で利用してますが、夕食が遅くまで食べれるので助かります。また利用したいホテルです。,この度は、ＨＯＴＥＬ ＡＺ上天草店並びに、併設されておりますバイキングレストラン志高のご利用頂誠にありがとうございました。これからもお客様にご満足頂けるサービスがひとつでも多くなるよう、私たちスタッフもさらに尽力してゆきます。　また、近くにお越しの際の当ホテルのご利用、スタッフ一同、心よりお待ちしております。　　フロント　岩崎,【朝食無料】スタンダードプラン,【【喫煙】シングル】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,投稿者,,,https://review.travel.rakuten.co.jp/hotel/voice/151110/13330677?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=12,,2016-04-01 08:51:23,2016月03月,3,3,4,3,3,4,2,,当日は、学生の宿泊と重なり、廊下が騒がしかった。フロントに連絡したて、注意してもらったはずだが、その後も騒がしく、落ち着かなかった。たまたまだったのでしょうが、残念でした。,この度は、ＨＯＴＥＬ ＡＺ上天草店のご利用誠に有難う御座いました。ご返信が遅くなり大変申し訳ありません。また、ご宿泊当日のお部屋への配慮が足りず申し訳ございませんでした。次回お越しいただけた際は、心からリラックスしたご宿泊が提供できるようスタッフ一同努力して参ります。またのご利用心よりお待ちしております。熊本上天草店　関,【朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
ＨＯＴＥＬ　ＡＺ　熊本上天草店,151110,古木戸7802,60代,女性,https://review.travel.rakuten.co.jp/hotel/voice/151110/13100926?f_time=&f_keyword=&f_age=0&f_sex=0&f_mem1=0&f_mem2=0&f_mem3=0&f_mem4=0&f_mem5=0&f_teikei=&f_static=1&f_point=0&f_sort=0&f_next=40&f_offset=13,,2015-12-26 18:46:53,2015月12月,3,3,5,4,3,3,1,,ビジネスホテルとしてはこれでよいと思います。ただ食事がいけません。干からびたおにぎり、スカスカのパンなど、４畳半一間で残り物をチンしてわびしく食べるみたいな雰囲気。会議室みたいな部屋も、窓際にカウンターみたいに並べるとか工夫が望まれます。トヨタの”日々改善”ではないですが、クレームから学んで是非成長して行ってください。,この度は、HOTEL AZ上天草店のご利用、誠にありがとうございます。ご返信が遅くなりまして大変申し訳ありません。ご朝食に関しまして、ご満足頂けるものが提供できずに、申し訳ございませんでした。食事会場の設置につきまして貴重なご意見をありがとうございます。至らない点が多くございますが、お客様にご満足いただけますようスタッフ一同努めて参ります。またのご来館、心よりお待ちしております。熊本上天草店　斉藤,【夕食付・朝食無料】スタンダードプラン,【【禁煙】２段ベッド】
